Texto,Sentimento
isso me deixa apavorada,medo
você esta me apavorando,medo
estou desconfiada de você,medo
não confio em você,medo
ate o cachorro está apavorado,medo
estou assustado com as ações do meu colega,medo
"agora se sente humilhado, apavorado",medo
assustou a população e provocou mortes,medo
estou com dificuldades para respirar e muito assustado,medo
os policiais se assustaram quando o carro capotou,medo
o trabalhador e assombrado pelo temor do desemprego,medo
este lugar e mal assombrado,medo
estou assombrado pela crise financeira,medo
mesmo aterrorizado lembro de você,medo
aterrorizado e suando frio,medo
um grupo de elefantes selvagens tem aterrorizado vilas,medo
me sinto intimidada pela sua presença,medo
tenho medo de ser advertida novamente,medo
estou correndo o risco de ser advertido,medo
estou correndo riscos de saúde,medo
os riscos são reais,medo
podemos perder muito dinheiro com essa investida,medo
"socorro, fui intimado a depor",medo
fui notificado e estou com medo de perde a guarda da minha filha,medo
estou angustiada com meus filhos na rua,medo
e abominável o que fazem com os animais,medo
foi terrível o tigre quase o matou,medo
me advertiram sobre isso,medo
"ate que enfim, não agüentava mais te esperar",raiva
eu quero meu dinheiro de volta agora!,raiva
eu odeio a escola!,raiva
"pqp, que merda de festa",raiva
"eu nunca tiro notas altas, que droga",raiva
"fiquei chapado e bati o carro, pqp que raiva",raiva
"nao passei no vestibular por pouco, ridiculo esse teste!",raiva
vou fazer picadinho de você,raiva
detesto trabalhar no verão,raiva
"quero minha comida, e quero agora!",raiva
melhor você recolher minhas compras agora!,raiva
quero descer agora sua maluca,raiva
vou reclamar com o gerente!,raiva
vai engolir o que disse!,raiva
ele me ridiculariza diante de todos,raiva
não quero mais saber de você,raiva
vejo você na cadeia safado!,raiva
agora vou ter que pagar mais isso ainda!,raiva
saia logo do banheiro!,raiva
suba já para o seu quarto!,raiva
eu falei para calar a boca seu idiota!,raiva
eu disse para você cair fora!,raiva
não agüento mais que fiquem me culpando sem motivo!,raiva
não suporto olhar na sua cara!,raiva
eu não sou um elefante,raiva
juro que se olhar pra mim eu o mato!,raiva
"chega, não quero saber mais deste assunto",raiva
como pode ser tão burro?,raiva
não me aborreça seu moleque,raiva
não quero me aborrecer com estas bobagens,raiva
ele me agrediu!,raiva
eu amaldiçôo você e a sua família,raiva
não me amole,raiva
não venha me amolar,raiva
isso tudo e uma tormenta,raiva
eu vou matar você,raiva
para que simplificar se você pode sempre complicar,raiva
isso esta me enlouquecendo,raiva
estou furiosa com você,raiva
isso mesmo fique furioso,raiva
esses livros são magníficos,surpresa
esse vinho e magnífico,surpresa
seria magnífico ver o esperaculo,surpresa
o casamento foi estupendo,surpresa
e um jogador bárbaro estupendo,surpresa
esse dia esta excelente,surpresa
o cantor estava excelente,surpresa
o universo e assombroso,surpresa
o amor e sublime,surpresa
sua sublime atuação,surpresa
e formidável meu caro walter,surpresa
eu nao acredito! voce e gay?,surpresa
"nossa, que noticia explendida!",surpresa
"eu nao imaginava isso, que noticia boa",surpresa
como e formidável a presença de todos,surpresa
e formidável ter a quem dizer adeus,surpresa
e um conselheiro formidável o seu,surpresa
o artigo foi formidável,surpresa
pica pau e um destaque no imaginário brasileiro,surpresa
ah! o absoluto do imaginário,surpresa
isso foi surreal,surpresa
uma historia completamente surreal,surpresa
essas pinturas beiram o surreal,surpresa
você nem acreditam de tão surreal,surpresa
incrível!,surpresa
fiquei pasma com tudo isso,surpresa
você me deixa pasmo,surpresa
estou admirado com a sua astucia,surpresa
que bela surpresa você me fez,surpresa
não acredito que fez isso!,surpresa
isso foi apavorante,surpresa
isso tão de repente,surpresa
estou chocada com isso,surpresa
estou surpresa e desconsertada,surpresa
esta realmente deslumbrante querida,surpresa
fiquei completamente sem plavras,surpresa
e espantoso o modo como ele nos olha,surpresa
incrivel você estar aqui,surpresa
que fantástica festa minha querida,surpresa
isso tudo e um erro,tristeza
eu sou errada eu sou errante,tristeza
tenho muito dó do cachorro,tristeza
e dolorida a perda de um filho,tristeza
essa tragedia vai nos abalar para sempre,tristeza
perdi meus filhos,tristeza
ela nao para de chorar a morte do marido,tristeza
ela perdeu um filho no aborto,tristeza
os pais deles morreram em um acidente,tristeza
o aviao caiu no mar e nao tiveram mais noticias,tristeza
perdi meu curso,tristeza
sou só uma chorona,tristeza
você e um chorão,tristeza
se arrependimento matasse,tristeza
me sinto deslocado em sala de aula,tristeza
foi uma passagem fúnebre,tristeza
nossa condolências e tristeza a sua perda,tristeza
"desanimo, raiva, solidão ou vazies, depressão",tristeza
vivo te desanimando,tristeza
estou desanimado,tristeza
"imperador sanguinário, depravado e temeroso",tristeza
meu ser esta em agonia,tristeza
este atrito entre nos tem que acabar,tristeza
a escuridão desola meu ser,tristeza
sua falsa preocupação,tristeza
sua falsidade me entristece,tristeza
quem esta descontente com os outros esta descontente consigo próprio,tristeza
a torcida esta descontente com a demissão do tecnico,tristeza
estou bastante aborrecido com o jornal,tristeza
me sinto solitário e entediado,tristeza
a vida e solitária para aqueles que não são falsos,tristeza
como com compulsão depois da depressão,tristeza
estou me desencorajando a viver,tristeza
ele desencoraja minhas vontades,tristeza
isso vai deprimindo por dentro,tristeza
acho que isso e defeituoso,tristeza
os remedios me derrubam na cama,tristeza
a depressão vai me derrubar,tristeza
suas desculpas são falsas,tristeza
não magoe as pessoas,tristeza
eu consegui passar na prova!!!,alegria
